timestamp,PS_P-001,PE_P-001,T_P-001,H_P-001,PS_P-002,PE_P-002,T_P-002,H_P-002,PS_P-003,PE_P-003,T_P-003,H_P-003,PS_P-004,PE_P-004,T_P-004,H_P-004,PS_P-005,PE_P-005,T_P-005,H_P-005,PS_P-006,PE_P-006,T_P-006,H_P-006,PS_P-007,PE_P-007,T_P-007,H_P-007,PS_P-008,PE_P-008,T_P-008,H_P-008,PS_P-009,PE_P-009,T_P-009,H_P-009,PS_P-010,PE_P-010,T_P-010,H_P-010
2026-02-15 01:23:56,120.03,118.72,23.68,42.3,118.12,117.06,24.35,43.76,116.52,115.86,25.06,41.83,115.44,115.28,23.5,43.14,113.23,112.97,23.56,42.61,112.33,112.04,24.19,41.89,112.24,109.27,23.7,43.58,107.75,108.8,23.87,43.7,108.65,106.99,23.18,41.22,107.58,105.05,23.64,42.56
2026-02-15 01:23:57,119.1,120.16,23.95,40.89,119.38,116.95,24.47,42.72,116.17,115.37,24.18,42.79,115.63,114.44,25.06,42.01,114.09,112.12,24.08,41.85,112.55,111.3,23.56,42.42,111.21,110.58,23.9,44.61,109.29,108.35,23.7,39.32,109.2,105.66,23.98,39.4,106.15,105.04,23.14,39.93
2026-02-15 01:23:58,120.44,118.9,23.87,40.8,118.34,118.21,23.92,39.66,116.82,116.33,23.92,41.64,115.42,115.63,23.91,43.23,113.69,113.87,23.67,41.18,111.63,110.81,24.2,42.84,112.27,110.44,22.78,40.93,109.92,108.15,23.7,42.14,107.17,107.29,24.14,39.38,106.7,105.54,24.03,41.78
2026-02-15 01:23:59,118.72,118.21,23.8,42.54,117.9,117.57,24.44,44.56,116.87,115.44,24.33,40.79,114.9,113.75,23.4,44.28,113.83,112.36,23.16,40.91,110.28,110.2,24.0,39.55,110.68,109.32,24.26,43.18,107.96,107.83,24.55,42.22,108.62,106.57,24.06,43.55,105.31,106.11,24.08,40.05
2026-02-15 01:24:00,121.67,118.36,23.78,42.58,118.42,116.89,24.56,43.36,116.23,116.0,24.23,40.17,115.62,114.23,23.59,42.46,114.25,111.74,23.76,42.03,113.11,111.82,23.24,43.31,111.02,108.22,24.28,41.12,109.87,108.69,24.03,41.9,108.66,108.04,23.77,38.61,106.89,105.41,24.62,41.52
2026-02-15 01:24:01,120.83,118.73,24.81,40.31,118.45,118.35,22.81,45.33,117.84,116.29,23.28,39.45,116.73,114.34,23.2,41.76,114.58,112.84,24.18,41.07,113.34,111.48,25.06,41.32,109.94,110.6,24.49,42.64,109.45,107.0,24.14,46.45,108.24,106.92,24.25,41.11,107.1,105.01,23.93,41.57
2026-02-15 01:24:02,119.89,118.91,24.04,41.08,117.84,117.79,23.72,39.27,117.3,115.96,23.71,42.03,114.68,113.92,23.15,42.93,112.68,112.54,24.76,41.87,113.09,111.66,24.46,42.13,111.47,110.04,24.32,40.91,110.16,109.19,24.12,41.79,107.65,107.35,23.73,43.46,106.27,105.22,23.54,42.39
2026-02-15 01:24:03,120.27,119.32,23.92,41.11,118.66,117.44,24.19,41.98,115.51,116.37,23.68,42.9,115.99,114.1,24.16,39.5,113.12,112.03,24.2,42.31,111.35,110.72,23.12,41.7,109.95,110.85,24.18,38.66,109.45,108.88,25.29,41.78,108.23,107.66,24.16,41.93,105.44,105.08,24.61,41.59
2026-02-15 01:24:04,119.49,118.25,23.53,43.59,117.74,117.92,24.6,44.43,117.52,115.64,24.3,42.13,115.47,114.33,23.95,44.13,113.33,112.83,23.96,39.27,112.43,112.22,23.79,40.73,111.31,111.08,23.18,42.18,109.88,108.68,23.52,41.96,107.4,106.15,24.74,39.18,106.02,105.72,23.99,43.1
2026-02-15 01:24:05,119.82,119.65,24.22,42.48,118.93,118.03,24.33,41.18,116.25,115.85,24.15,41.41,116.65,113.48,24.66,41.39,113.75,112.46,23.98,42.69,113.08,112.15,24.41,43.72,110.62,110.82,24.19,40.71,108.77,108.85,24.11,41.8,108.9,106.94,24.47,39.5,107.03,105.61,24.65,41.59
2026-02-15 01:24:06,119.73,119.32,23.92,40.42,119.54,117.26,24.1,41.05,117.76,116.16,24.22,41.77,115.71,114.87,23.59,44.39,112.1,113.08,22.8,43.6,113.58,112.53,23.85,40.64,110.43,110.07,24.43,41.9,109.2,107.81,23.61,44.2,106.18,107.05,23.94,39.21,107.18,105.45,23.51,43.1
2026-02-15 01:24:07,119.81,118.22,23.83,42.77,119.14,116.93,23.91,44.0,116.69,116.18,24.4,42.67,114.82,113.53,23.22,42.36,114.0,112.0,23.77,42.26,113.7,111.14,24.3,42.55,110.55,108.96,23.48,42.22,109.46,107.8,24.27,39.71,108.6,106.62,24.54,39.64,107.01,104.81,24.53,44.02
2026-02-15 01:24:08,119.05,118.45,23.76,38.89,117.99,100.61,27.53,52.07,117.23,115.73,23.7,41.01,115.57,114.81,23.94,42.82,114.52,112.46,23.99,41.53,112.59,111.97,23.99,40.73,109.11,109.67,24.05,40.73,109.23,108.66,22.81,41.12,108.51,106.8,23.02,44.53,105.83,105.88,24.42,41.73
2026-02-15 01:24:09,121.21,118.34,24.47,42.31,118.01,106.0,30.22,48.67,117.59,114.66,23.23,41.56,115.86,113.52,23.04,39.85,113.17,113.22,24.57,42.02,112.87,111.69,23.59,43.66,111.62,110.63,23.9,43.29,110.55,108.11,23.4,44.54,107.03,106.12,24.34,41.79,105.77,105.07,22.96,41.79
2026-02-15 01:24:10,120.43,118.07,23.44,40.76,116.6,97.73,28.35,49.71,118.16,116.04,23.72,42.86,115.59,113.46,23.39,41.31,115.25,113.62,23.68,43.0,111.99,111.22,24.23,41.39,111.1,110.89,23.73,40.45,110.66,109.08,23.6,41.38,107.68,107.76,24.1,41.01,107.27,105.84,24.08,40.48
2026-02-15 01:24:11,119.27,119.15,23.37,42.79,116.45,100.97,29.41,57.07,117.45,116.27,23.8,41.23,115.58,114.5,24.35,41.53,115.24,112.99,24.46,41.99,112.61,110.63,24.31,40.95,111.44,110.11,23.01,42.37,108.94,108.69,23.87,39.69,107.97,106.67,23.97,39.51,107.15,106.08,23.69,41.62
2026-02-15 01:24:12,120.95,118.68,25.31,41.41,118.51,104.96,24.57,57.41,117.15,116.75,24.2,43.57,114.65,114.4,24.99,39.49,114.95,112.22,23.57,42.11,113.79,111.09,23.91,44.36,111.86,108.95,24.24,39.81,108.85,107.78,24.56,45.14,107.25,107.32,24.97,41.07,107.85,104.23,24.25,44.43
2026-02-15 01:24:13,120.66,119.05,23.57,41.45,119.64,96.88,28.69,53.27,116.87,115.55,24.35,45.02,116.17,114.41,23.92,43.01,114.02,113.06,24.25,40.72,112.46,111.23,23.79,40.38,111.52,110.75,24.75,43.16,109.29,107.23,23.93,42.85,107.58,106.51,23.57,43.99,105.85,105.18,24.56,42.51
2026-02-15 01:24:14,119.95,118.95,23.78,41.25,118.42,116.97,24.02,42.52,116.91,115.55,23.63,39.82,115.28,114.11,24.4,41.53,114.55,112.14,23.82,42.82,113.06,110.97,23.89,40.91,111.17,109.05,24.15,45.52,109.16,107.95,22.89,42.51,107.65,105.82,23.72,41.87,108.14,103.71,24.34,39.6
2026-02-15 01:24:15,121.27,118.4,23.64,41.21,117.5,117.27,24.48,41.58,116.99,115.98,23.24,43.32,115.4,114.72,23.63,41.51,114.08,112.25,24.02,43.94,112.5,111.64,24.69,42.02,110.82,110.69,23.79,42.79,108.83,107.89,23.75,43.74,108.31,106.04,24.1,40.95,107.11,105.03,23.55,43.47
2026-02-15 01:24:16,120.15,118.7,23.12,41.44,118.31,117.06,25.32,42.5,117.41,116.93,23.94,42.2,113.97,114.07,24.02,40.16,113.16,112.56,23.32,41.44,112.78,111.97,24.31,45.1,111.41,109.76,24.55,40.4,109.35,108.39,22.72,40.66,108.01,106.21,23.88,41.65,105.4,105.57,24.52,42.32
2026-02-15 01:24:17,118.37,118.09,24.22,41.92,118.0,117.56,24.25,40.22,117.76,115.74,24.73,41.32,116.18,114.61,23.98,41.38,112.59,113.34,24.01,40.54,111.38,110.58,24.06,43.28,110.7,110.71,24.27,43.9,108.45,107.99,23.81,42.87,110.35,106.31,24.75,42.08,106.05,103.93,23.82,43.07
2026-02-15 01:24:18,119.72,119.37,24.39,43.1,119.03,117.44,24.84,42.02,117.41,115.27,23.47,42.37,115.35,115.25,23.71,41.18,114.36,113.12,23.74,39.39,112.11,111.04,24.43,43.98,109.31,110.47,24.4,42.11,107.67,109.84,24.49,41.55,107.28,106.98,24.38,42.41,106.07,105.16,23.89,41.77
