timestamp,PS_P-001,PE_P-001,T_P-001,H_P-001,PS_P-002,PE_P-002,T_P-002,H_P-002,PS_P-003,PE_P-003,T_P-003,H_P-003,PS_P-004,PE_P-004,T_P-004,H_P-004,PS_P-005,PE_P-005,T_P-005,H_P-005,PS_P-006,PE_P-006,T_P-006,H_P-006,PS_P-007,PE_P-007,T_P-007,H_P-007,PS_P-008,PE_P-008,T_P-008,H_P-008,PS_P-009,PE_P-009,T_P-009,H_P-009,PS_P-010,PE_P-010,T_P-010,H_P-010
2026-02-01 03:23:00,116.21,113.35,23.88,43.78,113.98,112.74,23.93,40.91,113.49,115.33,24.19,42.01,115.06,115.15,22.72,41.03,110.52,109.0,23.55,42.43,113.21,111.6,23.58,42.44,108.98,106.98,24.24,42.68,113.46,109.79,24.58,43.83,112.56,111.09,22.56,43.09,111.29,109.95,24.35,44.37
2026-02-01 03:24:00,115.03,111.98,24.08,42.41,111.32,109.22,23.85,43.67,114.44,114.73,23.85,39.55,112.93,108.76,24.54,43.04,111.75,107.59,24.1,42.25,111.05,108.84,23.61,41.75,113.53,112.78,22.29,41.84,110.84,111.49,23.98,42.48,112.22,110.81,23.58,40.94,111.98,111.69,22.99,42.22
2026-02-01 03:25:00,114.37,113.07,22.87,43.33,115.27,113.32,23.1,42.51,113.39,111.99,24.08,42.98,112.8,111.31,24.28,42.29,110.75,106.59,23.26,42.28,114.76,114.86,24.29,42.49,111.27,113.14,22.73,40.82,109.94,106.04,24.7,40.03,114.57,113.55,22.9,42.16,112.57,113.35,24.11,41.01
2026-02-01 03:26:00,117.65,118.29,23.01,40.08,114.19,112.55,23.13,42.3,112.78,110.38,24.75,44.9,113.69,112.08,22.9,42.6,112.87,114.2,23.58,42.5,110.07,107.53,23.34,42.88,111.74,109.24,22.27,43.88,112.53,110.72,23.65,43.35,109.35,108.51,25.43,43.23,111.85,112.34,24.12,42.18
2026-02-01 03:27:00,117.17,115.5,23.64,44.24,118.6,117.93,23.12,42.25,115.26,115.51,22.75,43.79,112.87,108.16,23.72,42.11,112.73,106.39,24.73,41.15,112.13,110.16,23.63,43.89,113.47,113.73,23.7,43.06,110.3,106.39,24.64,42.68,111.06,112.27,23.24,43.95,111.4,108.74,23.21,43.67
2026-02-01 03:28:00,116.82,113.94,24.43,42.18,113.29,113.78,23.66,43.16,112.91,109.67,22.78,44.76,112.52,113.58,23.94,42.54,115.44,114.34,24.65,42.47,115.94,111.63,25.12,43.39,112.19,110.74,23.37,42.12,112.85,112.62,24.87,44.62,109.41,109.52,24.04,44.49,109.71,106.86,24.13,44.03
2026-02-01 03:29:00,114.5,112.83,23.26,40.56,112.81,110.88,25.25,43.42,115.04,114.29,23.7,41.81,112.77,111.63,23.35,41.5,112.48,111.09,24.09,41.59,110.63,108.94,23.36,44.41,111.79,108.82,24.57,43.14,113.02,112.28,23.95,42.12,109.58,108.43,22.75,42.95,111.31,105.94,23.3,42.89
2026-02-01 03:30:00,113.94,111.13,24.59,44.71,115.26,112.68,23.82,40.75,116.2,114.77,23.15,43.57,112.75,109.13,23.45,41.33,112.67,109.66,23.55,41.54,114.26,113.86,24.24,41.62,113.53,111.76,23.2,42.15,113.01,111.45,23.68,46.1,110.32,109.19,22.98,44.59,110.12,109.44,22.31,39.7
2026-02-01 03:31:00,114.15,115.17,23.3,39.61,116.79,115.8,24.93,42.76,115.08,111.74,24.09,42.41,113.65,114.09,24.39,43.96,114.75,113.5,24.19,43.17,112.68,111.28,23.71,43.42,113.45,110.88,23.09,44.55,112.57,109.13,23.73,43.22,110.0,109.18,24.99,40.95,112.49,110.2,23.55,42.05
2026-02-01 03:32:00,116.57,112.04,24.33,44.92,116.96,117.3,24.36,42.4,111.94,112.9,23.58,43.27,116.54,113.92,23.64,42.29,112.97,111.67,24.33,43.52,110.67,108.3,24.94,41.92,110.63,108.35,22.96,41.95,110.51,110.83,23.2,43.23,109.7,105.72,23.59,41.43,111.58,112.66,24.08,43.36
