sensor_id,sensor_type,zone,location_x,location_y,installation_date,pipe_material,pipe_age_years,joint_type
P_A_001,pressure,Zone_A,63.454556026212416,59.297411788095246,2025-06-07,steel,9.0,flanged
P_A_002,pressure,Zone_A,98.2218724005593,10.206061594276328,2025-09-11,pvc,15.0,welded
P_A_003,pressure,Zone_A,46.12745630713147,70.71138888257444,2025-05-03,steel,16.0,threaded
P_A_004,pressure,Zone_A,84.21877809420353,98.51157352721303,2025-08-04,steel,16.0,welded
P_A_005,pressure,Zone_A,60.57162354737725,26.10184763173551,2025-09-01,pvc,14.0,welded
P_B_001,pressure,Zone_B,22.141111334167196,74.20965425176192,2025-02-16,pvc,6.0,welded
P_B_002,pressure,Zone_B,52.43576725299752,62.017657723098566,2025-06-25,steel,11.0,welded
P_B_003,pressure,Zone_B,66.44324479984633,91.39751297782058,2025-07-09,pvc,16.0,welded
P_B_004,pressure,Zone_B,33.622117974526965,64.03643441506168,2025-11-10,steel,12.0,flanged
P_B_005,pressure,Zone_B,58.86510095697315,8.157507964052147,2025-07-29,steel,5.0,flanged
P_C_001,pressure,Zone_C,48.42017514835489,78.69984288831245,2025-09-10,steel,8.0,flanged
P_C_002,pressure,Zone_C,90.2213787379055,77.0717066858014,2025-08-22,steel,10.0,flanged
P_C_003,pressure,Zone_C,27.99026661087919,26.43462151786019,2025-08-11,copper,9.0,threaded
P_C_004,pressure,Zone_C,10.544009073984418,35.38534902016875,2025-06-21,pvc,13.0,flanged
P_C_005,pressure,Zone_C,62.600933899124655,29.99117639324669,2025-11-14,copper,13.0,welded
P_D_001,pressure,Zone_D,83.9387737912054,77.80041055330943,2025-12-16,steel,14.0,welded
P_D_002,pressure,Zone_D,40.03792003595169,17.613539840263016,2025-01-03,steel,11.0,threaded
P_D_003,pressure,Zone_D,48.079953109637245,45.43243694904194,2025-03-12,pvc,19.0,threaded
P_D_004,pressure,Zone_D,17.120829018526862,79.09320737476376,2025-04-13,pvc,14.0,welded
P_D_005,pressure,Zone_D,25.03829999337559,10.78617017441854,2025-06-20,steel,8.0,welded
A_A_001,acoustic,Zone_A,17.944811652932458,15.943434341533024,2025-01-07,,,
A_A_002,acoustic,Zone_A,96.60705462163683,27.433896755959573,2025-04-19,,,
A_B_001,acoustic,Zone_B,96.63973675543971,51.869583858365374,2025-12-02,,,
A_B_002,acoustic,Zone_B,14.076036828008098,19.58225178499936,2025-08-31,,,
A_C_001,acoustic,Zone_C,80.66960504057317,60.78335350503248,2025-05-01,,,
A_C_002,acoustic,Zone_C,65.33732240878265,93.61587924987495,2025-10-07,,,
A_D_001,acoustic,Zone_D,74.75263409616228,9.91438190747237,2025-08-25,,,
A_D_002,acoustic,Zone_D,38.10825943005255,8.497643252826547,2025-06-29,,,
