timestamp,sensor_id,zone,pressure_psi,humidity_percent,temperature_c,is_anomaly,pressure_drop,humidity_change,severity,priority_score,estimated_annual_cost
2026-02-01 01:55:36,P_A_002,Zone_A,108.3,45.05,21.04,True,6.920000000000002,1.6200000000000045,MEDIUM,60,977.82
2026-02-01 01:55:37,P_A_002,Zone_A,114.28,44.23,18.08,True,0.9399999999999977,2.440000000000005,SMALL,30,18.04
2026-02-01 01:55:38,P_A_002,Zone_A,110.41,43.64,20.38,True,4.810000000000002,3.030000000000001,SMALL,30,472.43
2026-02-01 01:55:39,P_A_002,Zone_A,104.14,44.67,21.45,True,11.079999999999998,2.0,MEDIUM,60,2506.84
2026-02-01 01:55:40,P_A_002,Zone_A,104.37,42.54,23.33,True,10.849999999999994,4.130000000000003,MEDIUM,60,2403.84
2026-02-01 01:55:41,P_A_002,Zone_A,107.04,45.5,21.13,True,8.179999999999993,1.1700000000000017,MEDIUM,60,1366.32
2026-02-01 01:55:42,P_A_002,Zone_A,108.3,41.43,22.62,True,6.920000000000002,5.240000000000002,MEDIUM,60,977.82
2026-02-01 01:55:43,P_A_002,Zone_A,108.5,44.85,20.09,True,6.719999999999999,1.8200000000000003,MEDIUM,60,922.11
2026-02-01 01:55:44,P_A_002,Zone_A,100.04,41.91,23.49,True,15.179999999999993,4.760000000000005,LARGE,100,4705.33
2026-02-01 01:55:45,P_A_002,Zone_A,108.36,46.76,20.55,True,6.859999999999999,0.0899999999999963,MEDIUM,60,960.94
2026-02-01 01:55:46,P_A_002,Zone_A,88.17,33.97,21.72,True,27.049999999999997,12.700000000000003,LARGE,100,14941.04
2026-02-01 01:55:47,P_A_002,Zone_A,101.78,39.45,21.25,True,13.439999999999998,7.219999999999999,MEDIUM,60,3688.46
2026-02-01 01:55:48,P_A_002,Zone_A,110.78,44.15,20.75,True,4.439999999999998,2.520000000000003,SMALL,30,402.54
2026-02-01 01:55:49,P_A_002,Zone_A,105.15,42.41,20.81,True,10.069999999999993,4.260000000000005,MEDIUM,60,2070.64
2026-02-01 01:55:50,P_A_002,Zone_A,109.64,37.85,22.74,True,5.579999999999998,8.82,MEDIUM,60,635.79
2026-02-01 01:55:51,P_A_002,Zone_A,111.13,44.35,20.57,True,4.090000000000003,2.3200000000000003,SMALL,30,341.58
2026-02-01 01:55:52,P_A_002,Zone_A,105.77,42.31,22.42,True,9.450000000000003,4.359999999999999,MEDIUM,60,1823.52
2026-02-01 01:55:53,P_A_002,Zone_A,110.47,44.13,21.82,True,4.75,2.539999999999999,SMALL,30,460.72
2026-02-01 01:55:54,P_A_002,Zone_A,110.29,44.11,19.9,True,4.929999999999993,2.5600000000000023,SMALL,30,496.3
2026-02-01 01:55:55,P_A_002,Zone_A,107.34,42.24,20.19,True,7.8799999999999955,4.43,MEDIUM,60,1267.94
2026-02-01 01:55:56,P_A_002,Zone_A,109.98,44.95,23.57,True,5.239999999999995,1.7199999999999989,MEDIUM,60,560.67
2026-02-01 01:55:57,P_A_002,Zone_A,109.4,43.93,24.24,True,5.819999999999993,2.740000000000002,MEDIUM,60,691.66
2026-02-01 01:55:58,P_A_002,Zone_A,113.9,44.07,21.62,True,1.3199999999999932,2.6000000000000014,SMALL,30,35.58
2026-02-01 01:55:59,P_A_002,Zone_A,109.98,45.05,21.1,True,5.239999999999995,1.6200000000000045,MEDIUM,60,560.67
2026-02-01 01:56:00,P_A_002,Zone_A,114.51,42.51,21.15,True,0.7099999999999937,4.160000000000004,SMALL,30,10.29
2026-02-01 01:56:01,P_A_002,Zone_A,109.91,42.66,20.56,True,5.310000000000002,4.010000000000005,MEDIUM,60,575.75
2026-02-01 01:56:02,P_A_002,Zone_A,90.99,36.64,21.22,True,24.230000000000004,10.030000000000001,LARGE,100,11988.18
2026-02-01 01:56:03,P_A_002,Zone_A,106.6,45.61,20.71,True,8.620000000000005,1.0600000000000023,MEDIUM,60,1517.26
