filepath,true_label
C:\Users\rayen\ias_hack_main\models\04_acoustic_classifier\project\data\valve\id_06\normal\00000718.wav,normal
C:\Users\rayen\ias_hack_main\models\04_acoustic_classifier\project\data\valve\id_06\normal\00000846.wav,normal
C:\Users\rayen\ias_hack_main\models\04_acoustic_classifier\project\data\valve\id_06\normal\00000775.wav,normal
C:\Users\rayen\ias_hack_main\models\04_acoustic_classifier\project\data\valve\id_06\normal\00000536.wav,normal
C:\Users\rayen\ias_hack_main\models\04_acoustic_classifier\project\data\valve\id_06\normal\00000548.wav,normal
C:\Users\rayen\ias_hack_main\models\04_acoustic_classifier\project\data\valve\id_06\normal\00000225.wav,normal
C:\Users\rayen\ias_hack_main\models\04_acoustic_classifier\project\data\valve\id_06\normal\00000470.wav,normal
C:\Users\rayen\ias_hack_main\models\04_acoustic_classifier\project\data\valve\id_06\normal\00000837.wav,normal
C:\Users\rayen\ias_hack_main\models\04_acoustic_classifier\project\data\valve\id_06\normal\00000360.wav,normal
C:\Users\rayen\ias_hack_main\models\04_acoustic_classifier\project\data\valve\id_06\normal\00000961.wav,normal
C:\Users\rayen\ias_hack_main\models\04_acoustic_classifier\project\data\valve\id_06\normal\00000967.wav,normal
C:\Users\rayen\ias_hack_main\models\04_acoustic_classifier\project\data\valve\id_06\normal\00000959.wav,normal
C:\Users\rayen\ias_hack_main\models\04_acoustic_classifier\project\data\valve\id_06\normal\00000604.wav,normal
C:\Users\rayen\ias_hack_main\models\04_acoustic_classifier\project\data\valve\id_06\normal\00000861.wav,normal
C:\Users\rayen\ias_hack_main\models\04_acoustic_classifier\project\data\valve\id_06\normal\00000220.wav,normal
C:\Users\rayen\ias_hack_main\models\04_acoustic_classifier\project\data\valve\id_06\normal\00000941.wav,normal
C:\Users\rayen\ias_hack_main\models\04_acoustic_classifier\project\data\valve\id_06\normal\00000231.wav,normal
C:\Users\rayen\ias_hack_main\models\04_acoustic_classifier\project\data\valve\id_06\normal\00000780.wav,normal
C:\Users\rayen\ias_hack_main\models\04_acoustic_classifier\project\data\valve\id_06\normal\00000138.wav,normal
C:\Users\rayen\ias_hack_main\models\04_acoustic_classifier\project\data\valve\id_06\normal\00000825.wav,normal
C:\Users\rayen\ias_hack_main\models\04_acoustic_classifier\project\data\valve\id_06\normal\00000421.wav,normal
C:\Users\rayen\ias_hack_main\models\04_acoustic_classifier\project\data\valve\id_06\normal\00000732.wav,normal
C:\Users\rayen\ias_hack_main\models\04_acoustic_classifier\project\data\valve\id_06\normal\00000738.wav,normal
C:\Users\rayen\ias_hack_main\models\04_acoustic_classifier\project\data\valve\id_06\normal\00000290.wav,normal
C:\Users\rayen\ias_hack_main\models\04_acoustic_classifier\project\data\valve\id_06\normal\00000485.wav,normal
C:\Users\rayen\ias_hack_main\models\04_acoustic_classifier\project\data\valve\id_06\normal\00000988.wav,normal
